"Command to create Don's list: select moller_quality.run, run_start, quality, task, comment from moller_quality, moller_settings  where moller_settings.run=moller_quality.run and task='pol'and quality='good' order by moller_quality.run;",,,,
run,run_start,quality,task,comment
18097,9/4/19 15:25,good,pol,
18098,9/4/19 15:27,good,pol,
18099,9/4/19 15:30,good,pol,
18100,9/4/19 15:32,good,pol,
18101,9/4/19 15:34,good,pol,
18102,9/4/19 15:36,good,pol,
18103,9/4/19 15:38,good,pol,
18104,9/4/19 15:40,good,pol,
18105,9/4/19 15:50,good,pol,
18106,9/4/19 15:52,good,pol,
18107,9/4/19 15:54,good,pol,
18108,9/4/19 15:56,good,pol,
18109,9/4/19 15:58,good,pol,
18110,9/4/19 16:01,good,pol,
18111,9/4/19 16:03,good,pol,
18112,9/4/19 16:08,good,pol,
18113,9/4/19 16:10,good,pol,
18114,9/4/19 16:12,good,pol,
18115,9/4/19 16:15,good,pol,
18116,9/4/19 16:17,good,pol,
18117,9/4/19 16:19,good,pol,
18118,9/4/19 16:26,good,pol,
18119,9/4/19 16:28,good,pol,
18120,9/4/19 16:30,good,pol,
18121,9/4/19 16:32,good,pol,
18122,9/4/19 16:34,good,pol,
18123,9/4/19 16:36,good,pol,
18124,9/4/19 16:38,good,pol,
18125,9/4/19 16:41,good,pol,
18126,9/4/19 16:43,good,pol,
18127,9/4/19 16:45,good,pol,
18128,9/4/19 16:48,good,pol,
18129,9/4/19 16:50,good,pol,
18130,9/4/19 16:52,good,pol,
18131,9/4/19 16:54,good,pol,
18132,9/4/19 16:57,good,pol,
18133,9/4/19 16:59,good,pol,
18134,9/4/19 17:18,good,pol,10um foil jogged +2mm from center
18135,9/4/19 17:20,good,pol,10um foil jogged +2mm from center
18136,9/4/19 17:22,good,pol,10um foil jogged +2mm from center
18137,9/4/19 17:25,good,pol,10um foil jogged +2mm from center
18138,9/4/19 17:27,good,pol,10um foil jogged +2mm from center
18139,9/4/19 17:29,good,pol,10um foil jogged +2mm from center
18140,9/4/19 17:31,good,pol,10um foil jogged +2mm from center
18141,9/4/19 17:33,good,pol,10um foil jogged +2mm from center
18142,9/4/19 17:36,good,pol,10um foil jogged +2mm from center
18143,9/4/19 17:38,good,pol,10um foil jogged +2mm from center
18144,9/4/19 17:40,good,pol,10um foil jogged +2mm from center
18145,9/4/19 17:43,good,pol,10um foil jogged +2mm from center
18146,9/4/19 17:45,good,pol,10um foil jogged +2mm from center
18147,9/4/19 17:47,good,pol,10um foil jogged +2mm from center
18148,9/4/19 17:49,good,pol,10um foil jogged +2mm from center
18149,9/4/19 17:51,good,pol,10um foil jogged +2mm from center
18175,9/4/19 19:12,good,pol,4um foil jogged by +2mm from center
18176,9/4/19 19:15,good,pol,4um foil jogged by +2mm from center
